                MSCBC01%3A1000,BC3 1    eniq_oss_1 MSCBC01 1   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         12       38    (NULL)      (NULL)          62            62          97           92 
                MSCBC01%3A1000,BC3 19   eniq_oss_1 MSCBC01 19  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         90       82    (NULL)      (NULL)          58            24          96           26 
                MSCBC01%3A1000,BC3 20   eniq_oss_1 MSCBC01 20  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         98       36    (NULL)      (NULL)          15            67          83           12 
                MSCBC01%3A1000,BC3 21   eniq_oss_1 MSCBC01 21  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         98       25    (NULL)      (NULL)          55            13          23            4 
                MSCBC01%3A1000,BC3 22   eniq_oss_1 MSCBC01 22  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         94       35    (NULL)      (NULL)          32            98          82           46 
                MSCBC01%3A1000,BC3 23   eniq_oss_1 MSCBC01 23  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         93       97    (NULL)      (NULL)           7             1          96           76 
                MSCBC01%3A1000,BC3 24   eniq_oss_1 MSCBC01 24  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         70        7    (NULL)      (NULL)          37            95          92            0 
                MSCBC01%3A1000,BC3 25   eniq_oss_1 MSCBC01 25  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         19       18    (NULL)      (NULL)          42            46          30           99 
                MSCBC01%3A1000,BC3 26   eniq_oss_1 MSCBC01 26  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         80       70    (NULL)      (NULL)          17            34          53           39 
                MSCBC01%3A1000,BC3 27   eniq_oss_1 MSCBC01 27  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         77        3    (NULL)      (NULL)          62            42          67           49 
                MSCBC01%3A1000,BC3 28   eniq_oss_1 MSCBC01 28  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)          6       74    (NULL)      (NULL)          90            36          83            1 
                MSCBC01%3A1000,BC3 29   eniq_oss_1 MSCBC01 29  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         66       45    (NULL)      (NULL)          21             8          97           35 
                MSCBC01%3A1000,BC3 30   eniq_oss_1 MSCBC01 30  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         68        5    (NULL)      (NULL)          67            18          56            7 
                MSCBC01%3A1000,BC3 31   eniq_oss_1 MSCBC01 31  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         13       77    (NULL)      (NULL)          15            87          48           27 
                MSCBC01%3A1000,BC3 32   eniq_oss_1 MSCBC01 32  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         29       70    (NULL)      (NULL)          24            40          22            5 
                MSCBC01%3A1000,BC3 33   eniq_oss_1 MSCBC01 33  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         46        7    (NULL)      (NULL)          84            15          60           95 
                MSCBC01%3A1000,BC3 34   eniq_oss_1 MSCBC01 34  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         30       61    (NULL)      (NULL)          94            41          98           89 
                MSCBC01%3A1000,BC3 35   eniq_oss_1 MSCBC01 35  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         30       79    (NULL)      (NULL)          88            12          36           50 
                MSCBC01%3A1000,BC3 36   eniq_oss_1 MSCBC01 36  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         20       14    (NULL)      (NULL)          63            80          64           19 
                MSCBC01%3A1000,BC3 37   eniq_oss_1 MSCBC01 37  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         14       98    (NULL)      (NULL)          32            41          84            9 
                MSCBC01%3A1000,BC3 38   eniq_oss_1 MSCBC01 38  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         16       79    (NULL)      (NULL)          20            78          97           71 
                MSCBC01%3A1000,BC3 39   eniq_oss_1 MSCBC01 39  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         27       64    (NULL)      (NULL)          50            74          86            2 
                MSCBC01%3A1000,BC3 40   eniq_oss_1 MSCBC01 40  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         43       27    (NULL)      (NULL)          51             7          19           52 
                MSCBC01%3A1000,BC3 41   eniq_oss_1 MSCBC01 41  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         25       22    (NULL)      (NULL)          66            34          36           71 
                MSCBC01%3A1000,BC3 42   eniq_oss_1 MSCBC01 42  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         30        7    (NULL)      (NULL)          26            82          39           56 
                MSCBC01%3A1000,BC3 43   eniq_oss_1 MSCBC01 43  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         61       17    (NULL)      (NULL)          18            95          87           68 
                MSCBC01%3A1000,BC3 44   eniq_oss_1 MSCBC01 44  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         43        3    (NULL)      (NULL)          88            76          89            8 
                MSCBC01%3A1000,BC3 45   eniq_oss_1 MSCBC01 45  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         77       57    (NULL)      (NULL)          15            57           6           62 
                MSCBC01%3A1000,BC3 46   eniq_oss_1 MSCBC01 46  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         96       38    (NULL)      (NULL)          49            91          65           83 
                MSCBC01%3A1000,BC3 47   eniq_oss_1 MSCBC01 47  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         85       62    (NULL)      (NULL)          58            45           1           80 
                MSCBC01%3A1000,BC3 48   eniq_oss_1 MSCBC01 48  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)          4       52    (NULL)      (NULL)          69            14          40            5 
                MSCBC01%3A1000,BC3 49   eniq_oss_1 MSCBC01 49  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         30       34    (NULL)      (NULL)          91            57          26            6 
                MSCBC01%3A1000,BC3 50   eniq_oss_1 MSCBC01 50  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         12       46    (NULL)      (NULL)          71            37          78           19 
                MSCBC01%3A1000,BC3 51   eniq_oss_1 MSCBC01 51  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         61       44    (NULL)      (NULL)          59             6           5            3 
                MSCBC01%3A1000,BC3 52   eniq_oss_1 MSCBC01 52  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         87       65    (NULL)      (NULL)          19            94          68           86 
                MSCBC01%3A1000,BC3 53   eniq_oss_1 MSCBC01 53  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         36       50    (NULL)      (NULL)           2            23          99           34 
                MSCBC01%3A1000,BC3 54   eniq_oss_1 MSCBC01 54  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         33       74    (NULL)      (NULL)          83            58          66            5 
                MSCBC01%3A1000,BC3 55   eniq_oss_1 MSCBC01 55  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         67       94    (NULL)      (NULL)          40            11          82           37 
                MSCBC01%3A1000,BC3 56   eniq_oss_1 MSCBC01 56  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         87       77    (NULL)      (NULL)          92            55          92           98 
                MSCBC01%3A1000,BC3 57   eniq_oss_1 MSCBC01 57  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         17       16    (NULL)      (NULL)          62            71          16           20 
                MSCBC01%3A1000,BC3 58   eniq_oss_1 MSCBC01 58  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         20       60    (NULL)      (NULL)          28            21          37           37 
                MSCBC01%3A1000,BC3 59   eniq_oss_1 MSCBC01 59  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         67       12    (NULL)      (NULL)          25             1          34           30 
                MSCBC01%3A1000,BC3 60   eniq_oss_1 MSCBC01 60  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         83        1    (NULL)      (NULL)          57            79          88           37 
                MSCBC01%3A1000,BC3 61   eniq_oss_1 MSCBC01 61  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         80       25    (NULL)      (NULL)          59            77          43           24 
                MSCBC01%3A1000,BC3 62   eniq_oss_1 MSCBC01 62  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         57       97    (NULL)      (NULL)          36            19          45           16 
                MSCBC01%3A1000,BC3 63   eniq_oss_1 MSCBC01 63  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         39       43    (NULL)      (NULL)          89            41          23           20 
                MSCBC01%3A1000,BC3 64   eniq_oss_1 MSCBC01 64  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         60       79    (NULL)      (NULL)           4            95          32           96 
                MSCBC01%3A1000,BC3 65   eniq_oss_1 MSCBC01 65  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         47       73    (NULL)      (NULL)          98            52          97           51 
                MSCBC01%3A1000,BC3 66   eniq_oss_1 MSCBC01 66  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         19       79    (NULL)      (NULL)          21            10          43           82 
                MSCBC01%3A1000,BC3 67   eniq_oss_1 MSCBC01 67  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         45       17    (NULL)      (NULL)          69            87          63           66 
                MSCBC01%3A1000,BC3 68   eniq_oss_1 MSCBC01 68  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         35       80    (NULL)      (NULL)          39            99          28           68 
                MSCBC01%3A1000,BC3 69   eniq_oss_1 MSCBC01 69  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         40       76    (NULL)      (NULL)          14            25          45           17 
                MSCBC01%3A1000,BC3 70   eniq_oss_1 MSCBC01 70  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         31       67    (NULL)      (NULL)          98            90          90           22 
                MSCBC01%3A1000,BC3 71   eniq_oss_1 MSCBC01 71  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         13       86    (NULL)      (NULL)          72            98          19           27 
                MSCBC01%3A1000,BC3 72   eniq_oss_1 MSCBC01 72  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         15       11    (NULL)      (NULL)          59            91          36           79 
                MSCBC01%3A1000,BC3 73   eniq_oss_1 MSCBC01 73  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         57       87    (NULL)      (NULL)          19            64          92           76 
                MSCBC01%3A1000,BC3 74   eniq_oss_1 MSCBC01 74  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         74       78    (NULL)      (NULL)          35            32           5           42 
                MSCBC01%3A1000,BC3 75   eniq_oss_1 MSCBC01 75  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         56       79    (NULL)      (NULL)          49            24          82            5 
                MSCBC01%3A1000,BC3 76   eniq_oss_1 MSCBC01 76  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         67       55    (NULL)      (NULL)           4            78          18           65 
                MSCBC01%3A1000,BC3 77   eniq_oss_1 MSCBC01 77  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         26       57    (NULL)      (NULL)          42            78          44           43 
                MSCBC01%3A1000,BC3 78   eniq_oss_1 MSCBC01 78  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)          8       91    (NULL)      (NULL)          54            38          29           95 
                MSCBC01%3A1000,BC3 79   eniq_oss_1 MSCBC01 79  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         47       55    (NULL)      (NULL)           1            35          23           53 
                MSCBC01%3A1000,BC3 80   eniq_oss_1 MSCBC01 80  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         75       33    (NULL)      (NULL)          52            87          83           10 
                MSCBC01%3A1000,BC3 81   eniq_oss_1 MSCBC01 81  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         13       44    (NULL)      (NULL)          63            56          66           36 
                MSCBC01%3A1000,BC3 82   eniq_oss_1 MSCBC01 82  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         28        8    (NULL)      (NULL)          46            64          59           50 
                MSCBC01%3A1000,BC3 83   eniq_oss_1 MSCBC01 83  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         38       27    (NULL)      (NULL)          44            51          61           14 
                MSCBC01%3A1000,BC3 84   eniq_oss_1 MSCBC01 84  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         18       52    (NULL)      (NULL)          95            90          85           10 
                MSCBC01%3A1000,BC3 85   eniq_oss_1 MSCBC01 85  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL)      (NULL)    (NULL)         36       43    (NULL)      (NULL)          55            48          65            1 
