eniq_oss_3 SCEF                                                                                  18.8       vECE    SubNetwork               vECE01   SubNetwork=SubNetwork,NetworkElement=vECE01                 vECE01   ESA         Ericsson ACTIVE   2024-04-08 08:00:23.0 2024-06-03 05:30:23.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC88    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC88                DSC88    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC82    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC82                DSC82    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC70    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC70                DSC70    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC44    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC44                DSC44    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC84    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC84                DSC84    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC48    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC48                DSC48    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC34    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC34                DSC34    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC42    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC42                DSC42    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC81    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC81                DSC81    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC27    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC27                DSC27    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC41    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC41                DSC41    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC52    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC52                DSC52    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC94    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC94                DSC94    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC24    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC24                DSC24    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC23    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC23                DSC23    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC90    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC90                DSC90    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC14    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC14                DSC14    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC43    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC43                DSC43    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC47    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC47                DSC47    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC58    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC58                DSC58    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC79    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC79                DSC79    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC100   SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC100               DSC100   CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC91    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC91                DSC91    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC95    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC95                DSC95    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC63    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC63                DSC63    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC89    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC89                DSC89    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC40    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC40                DSC40    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC38    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC38                DSC38    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC37    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC37                DSC37    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC83    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC83                DSC83    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC20    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC20                DSC20    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC26    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC26                DSC26    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC28    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC28                DSC28    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC65    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC65                DSC65    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC77    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC77                DSC77    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC66    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC66                DSC66    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC22    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC22                DSC22    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC69    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC69                DSC69    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC39    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC39                DSC39    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC19    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC19                DSC19    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC18    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC18                DSC18    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC56    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC56                DSC56    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC21    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC21                DSC21    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC16    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC16                DSC16    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC57    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC57                DSC57    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC67    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC67                DSC67    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC25    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC25                DSC25    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
eniq_oss_3 ManagedElement SubNetwork=ONRM_ROOT_MO,Site=MSRNC05RBS05 MSRNC05RBS05                 1.19       DSC     ONRM_ROOT_MO             DSC59    SubNetwork=ONRM_ROOT_MO,ManagedElement=DSC59                DSC59    CBA         Ericsson DEACTIVE 2024-04-30 02:30:24.0 2024-04-30 13:15:24.0 ENIQ     
