                eniq_oss_1 MIE001  MIE001%3A13         MIE001  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1107       15              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      56     76       3     34 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC4  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      18     54      61     92 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC5  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      87     97      25     71 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC9  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      42     13      79     81 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC13 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       4     80      48     50 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC17 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      34     22       4     48 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC21 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      99     16      92     65 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC25 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      36     14      95     92 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC29 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       3     34      25      7 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC33 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       4     52       5     81 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC3  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      23     20      55      1 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC7  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      11     61       4     83 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC11 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      73     51      66     46 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC15 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      88     34      72     91 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC19 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      53     77      74     33 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC23 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      55     39      38     93 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC27 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       6     59      33      9 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC31 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       7     22      70      8 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC35 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      57     94      47     55 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC2  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      50     13      89     92 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC6  MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       4     28      54     34 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC10 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       6     96      15     22 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC14 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      13     84      73     44 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC18 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       3     57       0     61 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC22 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      72     24       4     21 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC26 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      99     17      69     91 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC30 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      18     75      90     14 
                eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC34 MSCBC01 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      69     59      45     41 
CLUSTER         eniq_oss_1 MAA01   MAA01%3A1008        MAA01   2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1106       18              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      82     24       9     45 
