                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC3  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC13 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC17 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC21 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC25 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC29 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC33 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC2  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC6  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC10 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC14 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC18 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC22 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC26 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC30 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC34 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
CLUSTER         MAA01   MAA01   eniq_oss_1 MAA01%3A1000        2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1106       10              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0 28.00000000 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC0  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC4  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC8  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC12 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC16 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC20 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC24 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC28 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
                MSCBC01 MSCBC01 eniq_oss_1 MSCBC01%3A1000,BC32 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0      (NULL) 
