                MIE001  eniq_oss_1 MIE001  MIE001%3A3          2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1107       18              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     269  73      49      83      43       8     210      12      55    214      12     278       1      57  52      46      64      1    1854      94      4      72      85      32     299    1325     254     261     298      54 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC2  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     169  16      64      95      83      44     155      90      65    133      25     120      41      95  61      71      17     93    1720       6     27      32      41      98     253    1535     291     200     276      52 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC5  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     111   4      99      78      17       6     122      33      14    207      85     178      41      22  43      11      16     18    1800      43     40      54      85      78     218    1322     228     174     261      20 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC9  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     227  29      66      20      55      26     140      92      51    231      38     286      71      80  71      80      25     58    1930      85     78      66      86      64     213    1408     236     109     199      86 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC13 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     205  19      83      61      73      21     283      27      90    265      47     163      79      33  38      21      87     22    1964      71     51      80      19      58     164    1521     201     182     233      64 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC17 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     206   2      75      10      10      89     232      81      16    180      93     211      20      20  78      96       3     73    1766      99     50       5      21      23     178    1321     152     245     131      13 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC21 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     171  27      87      29      92      36     103       0      77    166      47     299      10      26  82      78       4     22    1846      73     80      85       9      30     142    1308     270     128     202      24 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC25 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     187  11      70      76      39      49     239      84      87    178      79     175      80      62  64      98      83     53    1769      52     25      99      15       4     184    1579     205     274     118      10 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC29 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     247  55      53      15      64      17     215      35      99    218      75     252      36      47  89      74      41     10    1877      51     25      52      20      54     207    1394     169     188     169      76 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC33 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     275   0      85      80      80      50     286      84      93    135      60     188      67      54  82      72       7     81    1883      73     50      83      64       4     107    1590     173     106     151      82 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC0  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     185  96      77      51      91      43     115      34      24    231      70     117       9      11  73      19      56     13    1814      96     45      68      52      49     190    1393     276     188     135      21 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC4  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     278  39       8       4      90      88     295      81      45    203      91     230      30      42  79      71      13     72    1713      51     13      96      13      12     156    1370     177     134     240      14 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC8  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     222   4      98      74      87       2     235      12      24    197      84     236      16       6  14      38      56     27    1986       4     57      29      72       8     169    1394     134     259     254      70 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC12 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     249  65      64      28      22      73     152       6      82    211      48     190      86      78  85      49      68      9    1915      18     25      84      56      34     287    1383     160     250     290      42 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC16 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     175  59      87       4      34      15     103      32      47    291      17     263      19      53  66      39      40     62    1962       2     76      50      10      38     180    1560     209     102     122      32 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC20 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     171  31      21      26      24      54     179      66      94    245      17     273      17       0  33      78      90     29    1773      13     18      69      77      15     102    1303     211     221     271      88 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC24 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     211  99      64      63      39      22     194      47      23    274      28     250      74      94  62      19      18     93    1904      91     65      14      29      53     248    1494     191     134     230      69 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC28 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     266  99      44       2      27      53     297      62      94    203      51     249      84      23  23      11      61      7    1756      30     62      78      59      21     271    1385     149     163     268      90 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC32 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     115  19      56      90      98      12     152      55      62    167      95     242       3      80   2      19      22     89    1985      93     26      46      24      94     128    1586     229     240     235      26 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC3  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     288  22      59       4      80      25     295       3      32    295      91     273      89      72  83      65       5     25    1918       6     55      92      65      86     230    1480     188     102     188      48 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC7  2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     105  94      88      80      32      52     284       3      15    132      70     239      50      74  78      44       3     49    1825      52     54      56       4       5     269    1582     148     293     189      51 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC11 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     242  55      96       4      88      33     230      90      54    282      37     201      60      44  15      18      65      3    1950      24     56      62      97      24     147    1322     198     287     237      68 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC15 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     101   7      48      90      63       5     173       2      68    174      33     178      92      45  38      85      21      8    1893      40     12      38      77      34     122    1518     299     256     210       8 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC19 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     235  71      27      98      59      21     263      91      32    267      51     230      15      38   0       4      76     97    1849      73     70      37      65      21     299    1585     117     169     199      84 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC23 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     114  14      32      12      59      94     112       0      80    230      62     165      56      22  92      33      63     47    1730      75     83      82      62      65     147    1505     241     201     267      35 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC27 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     219  51       5      92      89      67     165      52      17    110      19     165      34      36  47      52      52     46    1936      30     12      48       9      64     183    1450     149     220     158      79 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC31 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     201  44      59      89       2      99     142      95      43    144       7     215      95      21  94      92      38     80    1964      82     37       5      59      87     168    1575     212     108     184      99 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
                MSCBC01 eniq_oss_1 MSCBC01 MSCBC01%3A1000,BC35 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0     258   2      60      32      51       0     295      76      18    114      23     127      20      38  72      95      77     19    1915      77     39      92      81      55     243    1335     191     283     218       5 (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) (NULL) 
