        MAA01   MAA01   MAA01%3A1006        MAA01   eniq_oss_1 MAA01   CLUSTER         2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1106       16              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       47       62       41         8  28       59        84        60        39  71       62        87 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC0  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       21       77       85        18  55       20        43        52        18  42       18        57 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC7  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       11       97       72        15  39       86        87        60         0  39       31        50 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC11 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0        5       59       32        92  61       24         8        39        16  22       69        80 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC15 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       51       76       30        92  17       93        75        89        82  62       47        35 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC19 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       66       62       41        82  69       78        75        55         7  84       14        85 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC23 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       48       65       88        94  72       91        52        11        56  56       60        90 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC27 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       43       56        1        74  37       46        91        22        33   7       66        29 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC31 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       43       63       79        73  71       43        55        30        52  51        4         7 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC35 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       38       18       24        88  23       25        14        10        18  78       14        63 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC2  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       49       57       80         9  36       28        34        30        28  17       19        48 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC6  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       82       54       67        84  51        6        18        91        45  18       19        61 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC10 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       14       64       71        43   5       94        25        36        95  86       24         3 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC14 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       38       53       63        85  90       43        11        65        50  19       22         6 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC18 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       63       22       57        53  36       72        40        20        48  17       56        85 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC22 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       98       50       61        71  72       57        35        44        68  51       56        90 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC26 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       94       99       97        75   5       17        17        91         7  45       92        99 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC30 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       10       61       47        92  13       63         1        88        17   4        3        14 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC34 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       66       71       65        64   9       13        13        93        37  21       80        38 
        MSCBC01 MSCBC01 MSCBC01%3A1000      MSCBC01 eniq_oss_1 MSCBC01 CLUSTER         2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       87       80       64        77   1       56        24        65        82  51       91        93 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC5  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       73       92       66        26  11       51        29        67        89  24       23        43 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC9  MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       94       85       31        51  28        3        86        91         1   1       93        10 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC13 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       85        1       84        39  27       16        12        36        78  19       11        68 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC17 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       69       32        8        37  75       27        52        70        14  52       78        44 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC21 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       36       17       52        98  60       36        86        82        31  32       47        72 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC25 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       51       85       19         4  47       35        87        57        25  93       29        98 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC29 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       96       47       96        54  11       26        65        32        23  98       88         9 
        MSCBC01 MSCBC01 MSCBC01%3A1000,BC33 MSCBC01 eniq_oss_1 MSCBC01                 2023-11-22    2023       11     22      10 2023-11-22 10:00:00.0      0 15MIN           1108        0              15 LOADED               eniq_oss_1 +0000                    0 2023-11-22 10:00:00.0       70       29       59        75  28       12        92        21        17  52       86        39 
