KPI,Formula,Description,Counters,CountersDescription,Access Type,System Area,Node Type,Measure,Measure Type,GSM Access Type,LTE Access Type,NR Access Type,WCDMA Access Type,Complexity,Custom Where Clause Condition,Custom Keys,SQL Operator,Mapping Columns,Category
IMS SBG Dropped Sessions Ratio ,"(ISNULL((100*(DC_E_IMSSBG_SIP_Delta.sbgSipSgcInitiatedSessionRelease/(DC_E_IMSSBG_SIP_Delta.sbgSipSessionIncNormalRelease+DC_E_IMSSBG_SIP_Delta.sbgSipSessionOutNormalRelease+DC_E_IMSSBG_SIP_Delta.sbgSipSgcInitiatedSessionRelease))), (100*(DC_E_IMSSBG_SIP_Delta.sbgSipInitiatedSessionRelease/(DC_E_IMSSBG_SIP_Delta.sbgSipSessionIncNormalRelease+DC_E_IMSSBG_SIP_Delta.sbgSipSessionOutNormalRelease+DC_E_IMSSBG_SIP_Delta.sbgSipInitiatedSessionRelease)))))",,"DC_E_IMSSBG_SIP_Delta.sbgSipSessionIncNormalRelease,DC_E_IMSSBG_SIP_Delta.sbgSipSessionOutNormalRelease,DC_E_IMSSBG_SIP_Delta.sbgSipSgcInitiatedSessionRelease,DC_E_IMSSBG_SIP_Delta.sbgSipInitiatedSessionRelease",,,Core,SBG,IMS SBG Dropped Sessions Ratio,KPI,,,,,Simple,,"MOID , OSS_ID, NE_ID, ROWSTATUS,DC_TIMEZONE",,,
IMS SCC AS Terminating Unregistered Service to VoLTE CS UE Success Ratio,100*(DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregCsSuccAttempt/(DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregCsSuccAttempt+DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregCsFailedAttempt)),,"DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregCsSuccAttempt,DC_E_MTAS_MTASSCC_RAW.MtasSccTermUnregCsFailedAttempt",,,Core,MTAS,IMS SCC AS Terminating Unregistered Service to VoLTE CS UE Success Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS TIPC Receive Drop Ratio - MTAS,100*(DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Rx_Naks/DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Rx_Packets),,"DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Rx_Naks,DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Rx_Packets",,,Core,MTAS,IMS TIPC Receive Drop Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS TIPC Send Collision Ratio - MTAS,100*(DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Link_Collision/DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Tx_Packets),,"DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Link_Collision,DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Tx_Packets",,,Core,MTAS,IMS TIPC Send Collision Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS TIPC Send Drop Ratio - MTAS,100*(DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Tx_Naks/DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Tx_Packets),,"DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Tx_Naks,DC_E_MTAS_OSMTIPCLINK_RAW.VS_LEM_Tx_Packets",,,Core,MTAS,IMS TIPC Send Drop Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
LDECpuLoadVirtRatio - SBG,DC_E_IMSSBG_OSPROCESSINGUNIT_RAW.CPULoad_TotalVirt,,DC_E_IMSSBG_OSPROCESSINGUNIT_RAW.CPULoad_TotalVirt,,,Core,SBG,LDECpuLoadVirtRatio,KPI,,,,,Simple,,"MOID , OSS_ID, NE_ID, ROWSTATUS,DC_TIMEZONE",,,
LDECpuStealRatio - SBG,DC_E_IMSSBG_OSPROCESSINGUNIT_RAW.CPULoad_Steal,,DC_E_IMSSBG_OSPROCESSINGUNIT_RAW.CPULoad_Steal,,,Core,SBG,LDECpuStealRatio,KPI,,,,,Simple,,"MOID , OSS_ID, NE_ID, ROWSTATUS,DC_TIMEZONE",,,
Attach Failure Ratio-FL,(DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttach_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_7_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_8_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_11_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_12_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_13_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_14_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_15_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC27_28_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC32_33_E) / (DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttAttach_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EmcAttachUscDiscarded_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscDiscarded_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscRejected_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachLapiRejected_E),,"DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttach_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_7_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_8_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_11_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_12_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_13_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_14_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_15_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC27_28_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC32_33_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttAttach_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EmcAttachUscDiscarded_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscDiscarded_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscRejected_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachLapiRejected_E",,LTE,Core,SGSN-MME,AttachFailureRatio-FL,KPI,FALSE,TRUE,FALSE,FALSE,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
Attach Failure Ratio-FV,(DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttach_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_7_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_8_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_11_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_12_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_13_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_14_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_15_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC27_28_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC32_33_E) / (DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttAttach_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EmcAttachUscDiscarded_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscDiscarded_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscRejected_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachLapiRejected_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachDecorRerouteOut_E),,"DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttach_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_7_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_8_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_11_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_12_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_13_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_14_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_15_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC27_28_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC32_33_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttAttach_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EmcAttachUscDiscarded_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscDiscarded_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscRejected_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachLapiRejected_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachDecorRerouteOut_E",,LTE,Core,SGSN-MME,AttachFailureRatio-FV,KPI,FALSE,TRUE,FALSE,FALSE,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
Attach Failure Ratio-GE,(DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttach_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_7_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_8_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_11_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_12_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_13_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_14_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_15_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC27_28_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC32_33_E) / (DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttAttach_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EmcAttachUscDiscarded_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscDiscarded_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscRejected_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachLapiRejected_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachDecorRerouteOut_E - DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachNasCongestionControlRejected_E),,"DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttach_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_7_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_8_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_11_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_12_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_13_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_14_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EpsAttachFail_15_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC27_28_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_UnsuccAttachCC32_33_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttAttach_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_EmcAttachUscDiscarded_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscDiscarded_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachUscRejected_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachLapiRejected_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachDecorRerouteOut_E,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_AttachNasCongestionControlRejected_E",,LTE,Core,SGSN-MME,AttachFailureRatio-GE,KPI,FALSE,TRUE,FALSE,FALSE,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
Attach Failure Ratio - GSM,(DC_E_SGSNMME_MOBILITY_G_RAW.discardedGprsAttach + DC_E_SGSNMME_MOBILITY_G_RAW.discardedCombiAttach + DC_E_SGSNMME_MOBILITY_G_RAW.gprsMmSgsnUnsuccessfulAttachRequests - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC7_G - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC8_G - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC11_G - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC13_G - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC14_G - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC15_G - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCSPSCoord_G - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC96_G - DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC17RedirectionInd_G) / (DC_E_SGSNMME_MOBILITY_G_RAW.discardedGprsAttach + DC_E_SGSNMME_MOBILITY_G_RAW.discardedCombiAttach + DC_E_SGSNMME_MOBILITY_G_RAW.attGprsAttach + DC_E_SGSNMME_MOBILITY_G_RAW.attCombiAttach),,"DC_E_SGSNMME_MOBILITY_G_RAW.discardedGprsAttach,DC_E_SGSNMME_MOBILITY_G_RAW.discardedCombiAttach,DC_E_SGSNMME_MOBILITY_G_RAW.gprsMmSgsnUnsuccessfulAttachRequests,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC7_G,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC8_G,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC11_G,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC13_G,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC14_G,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC15_G,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCSPSCoord_G,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC96_G,DC_E_SGSNMME_MOBILITY_MM_G_RAW.MM_UnsuccAttachCC17RedirectionInd_G,DC_E_SGSNMME_MOBILITY_G_RAW.attGprsAttach,DC_E_SGSNMME_MOBILITY_G_RAW.attCombiAttach",,,Core,SGSN-MME,AttachFailureRatio,KPI,TRUE,,,,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
Attached Users with NR Access Allowed,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_NbrAttachedNr_E,,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_NbrAttachedNr_E,,,Core,SGSN-MME,AttachedUserswithNRAccessAllowed,KPI,,TRUE,,,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
Attached Users with S102 Association,DC_E_SGSNMME_CDMA_E_RAW.VS_CDMA_NbrRegisteredUE_E,,DC_E_SGSNMME_CDMA_E_RAW.VS_CDMA_NbrRegisteredUE_E,,,Core,SGSN-MME,AttachedUserswithS102Association,KPI,,TRUE,,,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
Attached Users with SGs Association,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_NbrCsAttachedSub_E,,DC_E_SGSNMME_MOBILITY_MM_E_RAW.VS_MM_NbrCsAttachedSub_E,,,Core,SGSN-MME,AttachedUserswithSGsAssociation,KPI,,TRUE,,,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
Bearers,DC_E_SGSNMME_SESSION_SM_E_RAW.VS_SM_NbrActBearer_E,,DC_E_SGSNMME_SESSION_SM_E_RAW.VS_SM_NbrActBearer_E,,,Core,SGSN-MME,Bearers,KPI,,TRUE,,,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
Bearers per QCI,DC_E_SGSNMME_SESSION_SM_E_QCI_RAW.VS_SM_NbrActBearerQCI_E,,DC_E_SGSNMME_SESSION_SM_E_QCI_RAW.VS_SM_NbrActBearerQCI_E,,,Core,SGSN-MME,BearersperQCI,KPI,,TRUE,,,Simple,,"MOID ,OSS_ID,SGSN,ROWSTATUS,SN,DC_TIMEZONE",,,
